stemming,label,total_weight,word_weights
deh aku mau kopi kenang buat jajan kopiii,positive,11,"[0, 2, 5, 0, 3, 1, 0, 0]"
kan beli janji_jiwa large terus memang gin,positive,6,"[0, 2, 0, 0, 0, 4, 0]"
engga struk ketawa,positive,4,"[0, 0, 4]"
matchanya janji_jiwa enak engga sih,positive,5,"[0, 0, 5, 0, 0]"
aduh joshua kanan belah janji_jiwa tuh aku sempat pensi,negative,-2,"[1, 0, 0, -5, 0, 0, 2, 0, 0]"
kopi bukan janji_jiwa,negative,-3,"[0, -3, 0]"
tomoro kali janji_jiwa engga antuk antuk,negative,-8,"[0, 0, 0, 0, -4, -4]"
janji_jiwa light asa sama kan,positive,6,"[0, 0, 3, 3, 0]"
lidah beda banget nyata janji_jiwa turut kurang,negative,-3,"[0, -2, 1, 4, 0, -3, -3]"
lebih baik janji_jiwa turut,positive,1,"[1, 3, 0, -3]"
kopi kenang sama janji_jiwa,positive,6,"[0, 3, 3, 0]"
kecil enggak sih aku gamerhatiin dimensi im cowwi bb pakai buat mamam gaco kapan aku buyikan buat minum janji_jiwa,negative,-5,"[-3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, -3, -2, 0, 2, 0, 1, -3, 0]"
sini enggak ada janji_jiwa,positive,4,"[0, 0, 4, 0]"
mau toast janji_jiwa,positive,9,"[5, 4, 0]"
hooo nyata nama pc janji_jiwa lucu banget,positive,8,"[0, 4, 0, 0, 0, 3, 1]"
jajan hao janji_jiwa ymmd gksh malam,negative,-1,"[0, 0, 0, 0, 0, -1]"
tadi aku pikir point bingung mau rasa apa jadi beli janji_jiwa deh,positive,10,"[0, 2, 1, 0, 0, 5, 2, -3, 1, 2, 0, 0]"
janji_jiwa kosus sahabat kamu ngawur enak gila,positive,12,"[0, 0, 4, 0, 0, 5, 3]"
baru ajar tadi janji_jiwa hihihihihi,positive,1,"[0, 1, 0, 0, 0]"
gue bayar kopi overprice muka biasa padahal batin sedang umpat asu asu kape late ganti susu oat doang rebu benar feeling gue atur masuk janji_jiwa walaupun rasa hehe,positive,8,"[0, 1, 0, 0, 0, 2, 0, 0, 0, -4, 0, 0, 0, 0, 3, 0, 0, 1, 0, 2, 0, 0, 4, -3, 0, 0, 2, 0]"
goat tetap tuku recently amp currently buy tomoro fm point unclebrew engga banget janji_jiwa entah gue engga demen semua coffee amp non coffee nya,positive,5,"[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -3, 0, 0, 3, -3, 2, 0, 0, 2, 0]"
admin jadi duta janji_jiwa deh,positive,1,"[0, 1, 0, 0, 0]"
engga mood deh sore beli janji_jiwa apa,positive,1,"[0, 2, 0, 0, 2, 0, -3]"
lebih enak apa toast janji_jiwa,positive,7,"[1, 5, -3, 4, 0]"
kali wfc kali samping sama dokter pas tikom samping sama dokter lulus ubaya sekarang pas janji_jiwa samping sama umum jaga rs sangatta tertawa curiga nular aku,positive,19,"[0, 0, 0, -4, 3, 0, 3, 0, -4, 3, 0, 5, 0, 0, 3, 0, -4, 3, 1, 2, 0, 0, 5, 1, 0, 2]"
janji_jiwa nganjuk suwiii banget nunggune wkwkw skip,positive,1,"[0, 0, 0, 1, 0, 0, 0]"
gasanggup makan sadfood igd jadi ngegrab cepat dekat sekali beli kopi,positive,7,"[0, 1, 0, 0, 1, 0, 3, 1, -1, 2, 0]"
coba salted egg nya janji_jiwa lumayan sih sayang ayam pakai chicken burger bukan ayam potong,positive,1,"[2, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, -3, 0, -2]"
kol goreng jadi asa makan geprek bang jo,positive,6,"[0, 1, 1, 3, 1, 0, 0, 0]"
cuma janji_jiwa,positive,3,"[3, 0]"
tuku naikin harga enggak apa sih asal kualitas kagak drop jauh kayak kopi kenang janji_jiwa kayak air perisa kopi,negative,-10,"[0, 0, 3, 0, -3, 0, 0, 4, -3, -3, -4, -3, 0, 3, 0, -3, -1, 0, 0]"
fr id even take janji_jiwa and kopi under pinggir jalan waayy before i enter sb ever again,negative,-4,"[0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0]"
janji_jiwa matchanya manis,positive,5,"[0, 0, 5]"
svta harga joshua janji_jiwa sama joshua remot berapa,positive,6,"[0, 3, 0, 0, 3, 0, 0, 0]"
as biasa,positive,2,"[0, 2]"
biasa aku beli chattime matcha mousse favorit kalo engga terlalu suka matcha manis aku biasa beli kopi kenang janji_jiwa less sugar no skm,positive,25,"[2, 2, 2, 0, 0, 0, 5, 0, 0, -3, 3, 0, 5, 2, 2, 2, 0, 3, 0, 0, 0, 0, 0]"
gapapa juhak jangan minum strubuk minum janji_jiwa sama,negative,-6,"[0, 0, -3, -3, 0, -3, 0, 3]"
janji_jiwa enak nih,positive,5,"[0, 5, 0]"
harus pas kemarin tanya punya calon aku kasih nih foto kun janji_jiwa tertawa,positive,15,"[-5, 3, 0, 2, 3, 0, 2, 2, 0, 3, 0, 0, 5]"
saran aku lebih baik apa janji_jiwa toast burger bross french fries,positive,9,"[2, 2, 1, 3, -3, 0, 4, 0, 0, 0, 0]"
lama lebaran kedai kopi buka rumah cuma starbck ctl tomoro kopi kenang nako janji_jiwa amp juta jiwa,positive,10,"[-4, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 3, 0, 0, 0, 2, 0]"
beli tomoro amp sejujiw varian aren,positive,3,"[2, 0, 0, 0, 1, 0]"
nyata sejujiw goba mirip sama tuku,positive,8,"[4, 0, 0, 1, 3, 0]"
tomoro kalah jauh,negative,-8,"[0, -4, -4]"
selalu kasih susu ultramilk terus kasih sticky notes terus gede dikit ngasihnya makan mahal re janji_jiwa toast,positive,8,"[0, 2, 0, 0, 0, 2, 0, 0, 0, 2, -4, 0, 1, 1, 0, 0, 4]"
goodness enak kurma milktea nya janji_jiwa,positive,5,"[0, 5, 0, 0, 0, 0]"
ingat sakit nama diabetesssss,negative,-3,"[2, -5, 0, 0]"
keluarga maniak janji_jiwa ajg,positive,4,"[4, 0, 0, 0]"
masakan nyokap makan pagi siang lanjut besok sekarang gilir janji_jiwa dulu,positive,7,"[3, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0]"
but ofc adik pilih janji_jiwa cinta tonton film,negative,-3,"[0, 0, 0, -2, 0, 3, -4, 0]"
paling truffle mayo,positive,2,"[2, 0, 0]"
jadi bingunkkk iya aku lapar sikkk,negative,-2,"[1, 0, 0, 2, -5, 0]"
kamu biasany kalau beli janji_jiwa toastnya apa,negative,-2,"[0, 0, -1, 2, 0, 0, -3]"
eh malas gerak banget jalan buat janji_jiwa,negative,-2,"[0, -4, 0, 1, 0, 1, 0]"
janji_jiwa cashless makin aneh kata memang aneh situ,positive,13,"[0, 0, 2, 4, -1, 4, 4, 0]"
tadi abang aku beli janji_jiwa buka kak,positive,7,"[0, 0, 2, 2, 0, 3, 0]"
mbak janji_jiwa kalo ghibah atleast setel musik anjir benar ajar dengar ghibahan,positive,8,"[0, 0, 0, 0, 0, 0, 2, 1, 2, 1, 2, 0]"
janji_jiwa tutup kalo engga kan aku hibur diri makan toast,positive,4,"[0, -2, 0, 0, 0, 2, 0, -1, 1, 4]"
antuk banget cooooo baru tidur jam ku butuh kopiiii kopi kenang janji_jiwa point,negative,-2,"[-4, 1, 0, 0, 3, 0, 0, -5, 0, 0, 3, 0, 0]"
kopi buat kak safar baik banget fm tuku kopi kenang janji_jiwa lewaaat udeeeh sehat sehat lambung ku,positive,18,"[0, 1, 0, 0, 3, 1, 0, 0, 0, 3, 0, 0, 0, 4, 4, 2, 0]"
antuk banget anjjj padahal semalem minum kopi janji_jiwa sama americano,negative,-3,"[-4, 1, 0, 0, 0, -3, 0, 0, 3, 0]"
sengaja biar kagak tidur soal tau kalo tidur bablas,negative,-2,"[-2, 1, -3, 3, -1, 2, 0, 3, -5]"
knphh malah antuk jam gin solatt,negative,-4,"[0, 0, -4, 0, 0, 0]"
df bismillah mau jadwalin janji_jiwa pakai voc tsel combo voc resto visagf,positive,9,"[0, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
lah lebih suka janji_jiwa banding kopi kenang masa kak,positive,10,"[0, 1, 3, 0, 3, 0, 3, 0, 0]"
tadi sore hampir goda brand kopi si untung janji_jiwa kopi kenang,positive,8,"[0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 3]"
mana lebih enak kopi kenang orang janji_jiwa,positive,9,"[0, 1, 5, 0, 3, 0, 0]"
tibatiba ingat iki anjjjjjj habis pasang story tiba tiba dichat r lu okay,positive,13,"[0, 2, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 4]"
terus ajak janji_jiwa dekat rumah,positive,5,"[0, 1, 0, 1, 3]"
baru tau janji_jiwa sekarang enak banget,positive,8,"[0, 2, 0, 0, 5, 1]"
besok mau janji_jiwa ah potong soal,positive,2,"[0, 5, 0, 0, -2, -1]"
gapapa soal kopi kurang lebih baik beli tuku atoga janji_jiwa,positive,2,"[0, -1, 0, -3, 1, 3, 2, 0, 0, 0]"
fore janji_jiwa kopi kenang calf enak banget plssss,positive,9,"[0, 0, 0, 3, 0, 5, 1, 0]"
lebih enak tomoro sama janji_jiwa,positive,9,"[1, 5, 0, 3, 0]"
mau mau datengin sama orang suka ngabisin makan,positive,17,"[5, 5, 0, 3, 0, 3, 0, 1]"
kasih air putih minta kopi janji_jiwa,negative,-1,"[2, -1, -4, 2, 0, 0]"
sok far nyata kopi kenang not bad,positive,3,"[0, 0, 4, 0, 3, 0, -4]"
gaenak tuh janji_jiwa,negative,-5,"[-5, 0, 0]"
ajg kopi janji_jiwa manis banget,positive,6,"[0, 0, 0, 5, 1]"
soon penasaran banget sama kopi tuku mau aku coba engga sempat kopi sama tomoro engga tarik pasar mirip janji_jiwa jadi maaf aku meng underestimate enggak apa aku coba,positive,22,"[0, -3, 1, 3, 0, 0, 5, 2, 2, 0, 0, 0, 3, 0, 0, 2, 0, 1, 0, 1, 2, 2, 0, 0, 0, -3, 2, 2]"
woy janji_jiwa rungkut jam tutup kamu ubah ubah sih,negative,-2,"[0, 0, 0, 0, -2, 0, 0, 0, 0]"
kemarin gua kesana tutup jam kok sekarang teman gua kesana buka jam,negative,-5,"[0, -3, 0, -2, 0, 0, 0, 0, -3, 0, 3, 0]"
padahal minum janji_jiwa kopi go indopoint bean nescafe buntos coffe tidur biasa bisabisanya bangun puyeng dikit sih,negative,-6,"[0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, -4, -4, 0]"
idam matcha latte janji_jiwa,positive,3,"[3, 0, 0, 0]"
aku janji_jiwa bb besok sama apa,positive,2,"[2, 0, 0, 0, 3, -3]"
habis cek kopi kenang janji_jiwa point promo buy get,positive,5,"[3, -4, 0, 3, 0, 0, 3, 0, 0]"
enggak tonton seluruh film nya kok berani banget bilang buat capres tentu hdeh mbak lebih baik lanjut sruput janji_jiwa kamu enggak usah komentar politik blunder,negative,-5,"[0, -4, 0, 0, 0, 0, 0, 1, 0, 1, 0, -3, 0, 0, 1, 3, 2, 0, 0, 0, 0, -5, 0, -1, 0]"
eh benar pengin somay kaget bawa somay janji_jiwa depak enggak,positive,3,"[0, 2, 0, 0, 3, 1, 0, 0, -3, 0]"
kalo mentok bilang li golput disuru bayar semua orang janji_jiwa,negative,-7,"[0, -5, 0, 0, 0, 0, 1, -3, 0, 0]"
yoi wkwkk tim janji_jiwa apa kenang nih,negative,-4,"[0, 0, -4, 0, -3, 3, 0]"
benar goblok memang kan dukung sono mana percaya diri banget nongolin muka jeleynya,positive,7,"[2, -5, 4, 0, 4, 0, 0, 2, -1, 1, 0, 0, 0]"
sekali benerin jelek semua paslon tiga,negative,-9,"[-1, 0, -5, -3, 0, 0]"
lah kan memang isi,positive,6,"[0, 0, 4, 2]"
kan jadi tahu kagak tonton tertawa,positive,3,"[0, 1, 4, -3, -4, 5]"
nih mbak janji_jiwa template minus hijab memang hobi pamer tolol,negative,-7,"[0, 0, 0, 0, -3, 0, 4, 0, -3, -5]"
df siapa jajan promo janji_jiwa harpitnas,positive,4,"[0, 1, 0, 3, 0, 0]"
mungkin potong dikit mnrt aku worth banget sih soal tote bag,negative,-5,"[-1, -2, -4, 0, 2, 0, 1, 0, -1, 0, 0]"
tf mau tanya dong besok kan banyak promo milu,positive,13,"[0, 5, 2, 0, 0, 0, 3, 3, 0]"
nah kalo janji_jiwa tegal ikut promo enggak,negative,-4,"[0, 0, 0, -4, -3, 3, 0]"
soal jilid tentu terang,negative,-7,"[-1, -5, -3, 2]"
barangkali tau,positive,2,"[0, 2]"
ikut saran abang wood janji_jiwa,negative,-1,"[-3, 2, 0, 0, 0]"
gasuka kopi janji_jiwa dulu pernah coba engga deh toastnya enak high kalori,positive,3,"[-4, 0, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0]"
lu punya ilmu apa sih,positive,4,"[0, 3, 4, -3, 0]"
kok tau apa suka pesan janji_jiwa makaciiii deh jajanin,positive,4,"[0, 2, -3, 3, 2, 0, 0, 0, 0]"
janji_jiwa pejaten sepewe nyata,positive,4,"[0, 0, 0, 4]"
vanilla latte nya janji_jiwa enak nyata,positive,9,"[0, 0, 0, 0, 5, 4]"
moga ayam keprabon amp janji_jiwa tangan,positive,2,"[1, 0, 0, 0, 0, 1]"
wow baru pertama coba menu kopi kenang choco marshmallow enak,positive,10,"[0, 0, 0, 2, 0, 0, 3, 0, 0, 5]"
mnurut aku mirip sama hazelnut choco janji_jiwa,positive,6,"[0, 2, 1, 3, 0, 0, 0]"
janji_jiwa sama kopi kenang habis promonya minum tomoro kak,positive,6,"[0, 3, 0, 3, 3, 0, -3, 0, 0]"
pengin janji_jiwa bjirrrrr ruki puri dago enggak ada jiwa sih,positive,4,"[0, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
janji_jiwa enggak ada kak,positive,4,"[0, 0, 4, 0]"
jakarta tuh banyak kenang banget sama almarhum mbak sekarang noh gps tempat dulu jadi tempat kumpul sama almarhum mbak sekarang padahal ganti jadi janji_jiwa tetap kalo lewatin mau menang,positive,36,"[0, 0, 3, 3, 1, 3, 0, 0, 0, 0, 0, 3, 0, 1, 3, 0, 3, 0, 0, 0, 0, 3, 1, 0, 3, 0, 0, 5, 4]"
aku sangat kangen magangduduk bilik paling depanmeja isi laptop botol kuemakan risol mayo tiap hariminum janjiwmakan portalscan mukamenyapa mengliatin monaspake sendalngobrol sama gian muakgangguin mbak widmbak hainhiks,positive,12,"[2, 3, 3, 0, -3, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
rocket chicken sama janji_jiwa engga asih promo,positive,9,"[0, 0, 3, 0, 0, 3, 3]"
satu fnb nasional kota kecil tuh janji_jiwa jadi kalo promo janji_jiwa kasitau,positive,3,"[3, 0, 0, -1, -3, 0, 0, 1, 0, 3, 0, 0]"
umur baru rasai kirim gojek nama dikirimin janji_jiwa atas nama kayla siapa sikk effort begini tertawa penasaran deh,positive,5,"[4, 0, 1, 2, 0, 0, 0, 0, -4, 0, 0, 1, 0, 0, -1, 5, -3, 0]"
janji_jiwa banget nih hyong,positive,1,"[0, 1, 0, 0]"
knpseh nih janji_jiwa ngidupin lagu galau mulu,positive,4,"[0, 0, 0, 0, 2, 0, 2]"
coba nasi geber janji_jiwa fess,positive,4,"[2, 2, 0, 0, 0]"
salted eeg enak bang sih mihil aku,positive,7,"[0, 0, 5, 0, 0, 0, 2]"
beli sekali buat self reward,positive,2,"[2, -1, 1, 0, 0]"
janji_jiwa kopi susu sahabat enakkk,positive,4,"[0, 0, 0, 4, 0]"
huaaaa aku mau kamu biasa beli apa,positive,8,"[0, 2, 5, 0, 2, 2, -3]"
aku kalau jajan kopi gantung duit hehe,negative,-2,"[2, -1, 0, 0, -3, 0, 0]"
pas ngepas beli belikopi,positive,5,"[3, 0, 2, 0]"
kalau banyak tomoro janji_jiwa kopi kenang point coffee,positive,7,"[-1, 3, 0, 0, 0, 3, 0, 2]"
hayuuu minum kopi,negative,-3,"[0, -3, 0]"
point kalau senin suka promo,positive,5,"[0, -1, 0, 3, 3]"
nasi geber janji_jiwa salted egg enak banget fess mahal,positive,9,"[2, 0, 0, 0, 0, 5, 1, 0, 1]"
coffee shop pernah coba jakarta,positive,4,"[2, 0, 0, 2, 0]"
kopi kenang,positive,3,"[0, 3]"
point coffee,positive,2,"[0, 2]"
titik temu,negative,-1,"[-3, 2]"
flash coffee,positive,2,"[0, 2]"
kak promo janji_jiwa lihat,positive,6,"[0, 3, 0, 3]"
latte nya janji_jiwa enakk banget,positive,1,"[0, 0, 0, 0, 1]"
mau ku sekarang matcha latte janji_jiwa susu mbok darmi stobeli ramen,positive,5,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
kalo kata kalo eskrim chateraise enak banget sama kalo minum matchanya janji_jiwa enak tomoro hot,positive,10,"[0, -1, 0, 0, 0, 5, 1, 3, 0, -3, 0, 0, 5, 0, 0]"
gua biasa janji_jiwa enak,positive,4,"[-3, 2, 0, 5]"
tadi pengin beli susu coklat rotio close buat minum terus janji_jiwa engga cash terus gue beli milo rasa manis banget gua pengin pahit,positive,4,"[0, 0, 2, 0, 0, 0, -2, 1, -3, 0, 0, 0, 2, 0, 0, 2, 0, 2, 5, 1, -3, 0, -3]"
tonton arsenal janji_jiwa soal janji mu enggak bisa pegang,negative,-7,"[-4, 0, 0, -1, 0, 0, 0, 0, -2]"
sering banget kalo beli janji_jiwa layanin cewek tuh rasa asem banget matchanya enggak manis hambar sih tugas cewenya,positive,10,"[3, 1, 0, 2, 0, 0, 0, 0, 2, 0, 1, 0, 0, 5, -3, 0, -1, 0]"
lah mau bengi iya bar neng janji_jiwa tertawa,positive,15,"[0, 5, 0, 0, 0, 5, 0, 5]"
janji_jiwa tutup ganti tuku,positive,1,"[0, -2, 3, 0]"
ngl tinggal bandung teman sih op lumayan lebay,negative,-3,"[0, 1, -1, 0, 0, 0, 1, -4]"
kerja menteng bubur rbrb also merk mana rebu,positive,2,"[2, 0, 0, 0, 0, 0, 0, 0]"
kan kelas kopi kenang fore tomoro janji_jiwa point satu gasampe ribu,positive,3,"[0, -3, 0, 3, 0, 0, 0, 0, 3, 0, 0]"
kemarin beli booth kopi kenang event ice bsd ribu buat dua,positive,7,"[0, 2, 0, 0, 3, 0, 0, 0, 0, 1, 1]"
kadang kangen janji_jiwa,positive,6,"[3, 3, 0]"
lama skripsi kalo ngerjainnya sendiri engga bareng yurinda bingung mau makan minum apa selalu order toast sama kopimatcha nya janji_jiwa,positive,3,"[-4, 0, 0, 0, -3, 0, 3, 0, 0, 5, 1, -3, -3, 0, 0, 4, 3, 0, 0, 0]"
keju batagor teh janji_jiwa cilok brownis kwetiaw goreng sate ayam ice cream semangka seblak salad buah kangkung,positive,1,"[0, 0, 1, 0, -3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
sini jajan kopi cuma janji_jiwa kopi kenang doang,positive,7,"[0, 0, 0, 3, 0, 0, 3, 1]"
terus gue tadi grepfut beli rebu,positive,2,"[0, 0, 0, 0, 2, 0]"
pas gue coba rasa kayak apa pas ingat inimah kopi neo anjir,positive,7,"[3, 0, 2, 2, -3, -3, 3, 2, 0, 0, 0, 1]"
mau janji_jiwa baca buku yay orang nay,positive,8,"[5, 0, 3, 0, 0, 0, 0]"
syukur banget semenjak kopi indoalfamart tuku janji_jiwa kopi kenang ikut,positive,6,"[5, 1, 0, 0, 0, 0, 0, 0, 3, -3]"
woy benar banget tt tuh lebih kopi kopi tempat nongki kalo engga percaya bukan kopi onthego model kopi kenang janji_jiwa dan lain lain,positive,2,"[0, 2, 1, -2, 0, 1, 0, 0, 3, 0, 0, 0, 2, -3, 0, 0, 3, 0, 3, 0, 0, -4, -4]"
jujur kadang kalo seret banget lebih baik bawa tumbler terus isi air putih rumah cukup makan overprice tertawa,positive,14,"[4, 3, 0, 0, 1, 1, 3, 1, 0, 0, 2, -1, -4, 3, -5, 1, 0, 5]"
mingyu pob yt pilot janji_jiwa soal ganteng banget,positive,4,"[0, 0, 0, 0, 0, -1, 4, 1]"
ken roti janji_jiwa,positive,3,"[3, 0, 0]"
promo xxi hokben tomoro coffee kopi kenang janji_jiwa serba nder,positive,8,"[3, 0, 0, 0, 2, 0, 3, 0, 0, 0]"
pokok hari aku beli toast janji_jiwa,positive,11,"[3, 0, 2, 2, 4, 0]"
promo bank saqu nder feb serba kopi kenang janji_jiwa tomoro coffe hokben promo kfc free minum apa tanggal feb,positive,2,"[3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 3, -3, -3, -4, 0]"
soal range kopi mentok kayak kopi kenang selalu promo tuku mentok calf janji_jiwa sama point daerah mana kopi,negative,-5,"[-1, 0, 0, -5, -3, 0, 3, 0, 3, 0, -5, 0, 0, 3, 0, 0, 0, 0]"
hotel,positive,1,[1]
baru tau janji_jiwa buger,positive,2,"[0, 2, 0, 0]"
burgernya janji_jiwa enaq weh mungkin rasa daging familiar yeh kalian cobainnn,positive,3,"[0, 0, 0, 0, -1, 2, 0, 2, 0, 0, 0]"
maaf ralat janji_jiwa urut,positive,2,"[2, 0, 0, 0]"
promo ribu kopi susu sahabat janji_jiwa,positive,7,"[3, 0, 0, 0, 4, 0]"
hi abang ganteng ganteng kayak aku enih salam kenal bang,positive,11,"[1, 0, 4, 4, -3, 2, 0, 0, 3, 0]"
benar kopi franchise macam indomaret freshpoint fore kopi kenang janji_jiwa dan lain lain banyak nyaman buat vibing gantung jam sama daerah,positive,5,"[2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, -4, -4, 3, 4, 1, 0, -3, 0, 3, 0]"
point coffee tomang raya biasa sepi sih siangsiang sore,positive,1,"[0, 2, 0, 0, 2, -3, 0, 0, 0]"
kalo lawson dekat rutan salemba minus banyak jamet,positive,1,"[0, 0, 1, 0, 0, -3, 3, 0]"
kopi susu sahabat nya janji_jiwa enak banget aslikkkk,positive,10,"[0, 0, 4, 0, 0, 5, 1, 0]"
samasama anak yayah,negative,-3,"[0, -3, 0]"
selamat nikmat weekend kopi susu sahabat janji_jiwa,positive,12,"[5, 3, 0, 0, 0, 4, 0]"
fore butterscotchnya enak entah tarik coba flash mohon maaf harga bikin pusing janji_jiwa lama banget enggak beli eh lupa rasa begimana,positive,11,"[0, 0, 5, -3, 2, 2, 0, 2, 2, 3, 0, -4, 0, -4, 1, 0, 2, 0, 1, 2, 0]"
tertawa lebih pas kalo bukan toastnya gua enggak bakal pernah beli janji_jiwa,positive,5,"[5, 1, 3, 0, -3, 0, -3, 0, 0, 0, 2, 0]"
sender mau me time bingung biasa janji_jiwa doang,positive,8,"[0, 5, 0, 0, 0, 2, 0, 1]"
tahta coffeeshopchain enak pernah gua coba dont judge me calf kopi tuku point coffee flash fore kopi kenang tomoro janji_jiwa,positive,9,"[0, 0, 5, 0, -3, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0]"
wah janji_jiwa sekarang burgernya chicken burger enak parah biasa beli punya bk kalo pengin jauh lebih enakk roti tebal tuing manis engga ganggu rasa ayam samsek ayam juicy engga enek makan kanan barbar kiri enakk,negative,-1,"[3, 0, 0, 0, 0, 0, 5, -5, 2, 2, 3, 0, 0, 0, -4, 1, 0, 0, 0, 0, 5, 0, -4, 2, 0, 0, 0, 0, 0, -4, 1, 0, -5, -3, 0]"
coffee shop chain eg,positive,2,"[2, 0, 0, 0]"
kopi kenang janji_jiwa tomoro banyak rentang,positive,6,"[0, 3, 0, 0, 3, 0]"
kafe biasa estetik banyak rentang,positive,5,"[-4, 2, 4, 3, 0]"
jarang lihat malah macam sbux,positive,3,"[0, 3, 0, 0, 0]"
gila banget anjir famima maxx lawson kopi kenang janji_jiwa engga sih lupa yoshinoya tomoro coffe toffee indak bite javaroma dips apa kagak sekali buka mcd dominos pizza,positive,5,"[3, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -3, -3, -1, 3, 0, 0, 0]"
kalau mau cut cost benar lebih baik robusta banding mere cheap arabica notes asalasalan too industrialised,positive,13,"[-1, 5, 0, 0, 2, 1, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
gue mau include janji_jiwa merchant kopi maaf jiwa snob elitis,positive,7,"[0, 5, 0, 0, 0, 0, 2, 0, 0, 0]"
janji_jiwa kadang enak kadang enggak not recommending the matcha latte rasa kayak glaze donat matcha kasih susu i like kenang freeze enak havent tried tomoro penasaran,positive,17,"[0, 3, 5, 3, 0, 0, 0, 0, 0, 0, 2, -3, 0, 0, 0, 2, 0, 0, 0, 3, 0, 5, 0, 0, 0, -3]"
i just pakai my sendiri coffee rumah i have everything even coffee machine lol,positive,4,"[0, 0, 0, 0, -3, 2, 3, 0, 0, 0, 0, 2, 0, 0]"
its arabica stronger and rather acidic too tahu,positive,4,"[0, 0, 0, 0, 0, 0, 0, 4]"
also nah apt memang specialty its kakak cuma kopi susu random janji_jiwa always range using the app every coffee shop franchise app like kenang and tuku afaik,positive,8,"[0, 0, 0, 4, 0, 0, 0, 3, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0]"
benar rumah kiri janji_jiwa kopi kenang fore kanan tuku tomoro,positive,5,"[2, 3, -3, 0, 0, 3, 0, 0, 0, 0]"
janji_jiwa bilek kak latte barista janji_jiwa bilek kayak biasa kak,negative,-1,"[0, 0, 0, 0, 0, 0, 0, -3, 2, 0]"
coba kopi susu sahabat janji_jiwa less sugar rasa tetap kayak indocafe sachetan masa syedi,positive,4,"[2, 0, 0, 4, 0, 0, 0, 2, 3, -3, 0, 0, 0, -4]"
janji_jiwa sama kopi kenang,positive,6,"[0, 3, 0, 3]"
aku nuker janji_jiwa gampang banget tinggal bilang mau promo bank saqu,positive,16,"[2, 0, 0, 4, 1, 1, 0, 5, 3, 0, 0]"
aku jadi tagih earl grey janji_jiwa gara-gara sering lihat tweetmu,positive,1,"[2, 1, -3, 0, 0, 0, -5, 3, 3, 0]"
enggak jadi aku mau beli janji_jiwa,positive,10,"[0, 1, 2, 5, 2, 0]"
janji_jiwa fes vibe on a saturday is unmatched isi cuma bapakbapak habis lari pagi hadir circle adik tingkat hits berisik bikin insecure,positive,10,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 3, -2, 1, 2, 0, 0, 1, 0, 0, 0, 0]"
minum janji_jiwa,negative,-3,"[-3, 0]"
tanya buy orang bye,negative,-1,"[2, 0, 0, -3]"
janji_jiwa pakai voc engga asa hikss lumayan engga perlu keluar buat beli,positive,6,"[0, 0, 0, 0, 3, 0, 1, 0, 2, -3, 1, 2]"
kenapasih kalo makan toastnya janji_jiwa suka lupa kalau saosnya pas mau habis baru ingat sebeeeellll,positive,14,"[-3, 0, 1, 0, 0, 3, 1, -1, 0, 3, 5, 3, 0, 2, 0]"
eh memang janji_jiwa tuh se pw coii,positive,4,"[0, 4, 0, 0, 0, 0, 0]"
sini pernah ketemu orang aneh engga dideket janji_jiwa ipb,positive,5,"[0, 0, 1, 0, 4, 0, 0, 0, 0]"
kayak orang awal tanya alamat eh malah omong makin aneh,positive,4,"[-3, 0, 3, 2, 0, 0, 0, -4, 2, 4]"
masa sih suka kopi susu janji_jiwa susu oat dbest,positive,3,"[0, 0, 3, 0, 0, 0, 0, 0, 0]"
kopi susu janji_jiwa sahabat anak,positive,1,"[0, 0, 0, 4, -3]"
mau janji_jiwa kak,positive,5,"[5, 0, 0]"
masak sih janji_jiwa manis,positive,7,"[2, 0, 0, 5]"
